,单品名称,前一周日均销量,预测批发价,最佳定价,进货量,7月1日收益
0,小米椒(份),21.428571428571427,2.163908,5.621064707474769,32.72285,102.46005040720021
1,西兰花,12.557714285714285,7.369674,13.838422272472172,46.10249,270.6097185575607
2,西峡花菇(1),4.624142857142857,15.59981,21.165907858596775,38.843925,192.8585208920436
3,云南生菜(份),32.285714285714285,3.4452891,5.72435831005565,43.35062,89.48231079510917
4,云南油麦菜(份),21.285714285714285,2.7803416,4.811538455465744,43.026756,79.15438600949062
5,芜湖青椒(1),14.233428571428572,3.3402216,5.79999994837664,34.526226,80.08603065228094
6,螺丝椒,6.842428571428571,8.675126,17.529163229082545,8.612976,68.49638184745753
7,紫茄子(2),10.902857142857142,3.2572405,6.104999762201332,27.633907,73.91794540607954
8,净藕(1),6.026285714285714,10.102935,14.937499521469189,22.223173,101.48722704969228
9,长线茄,4.214428571428571,6.8536625,15.204810976006588,9.284203,72.18392523082183
10,娃娃菜,10.428571428571429,4.396938,6.632291539091343,13.497944,29.424396250552107
11,竹叶菜,13.296714285714284,2.1730444,3.983111496033033,20.20574,31.592400247059654
12,螺丝椒(份),11.285714285714286,4.2070446,7.348728407099493,40.41522,114.99839277329829
13,双孢菇(盒),10.0,3.4233441,6.7759149985048515,21.465887,71.82197572797742
14,姜蒜小米椒组合装(小份),7.0,2.382456,3.8244999621560676,18.242441,23.825707370487873
15,上海青,3.8612857142857147,4.1018996,9.943037508878074,19.157366,95.75352751973881
16,枝江青梗散花,3.6004285714285715,8.865563,17.059325675413863,27.245136,211.210713872846
17,奶白菜,6.422714285714286,2.3528152,5.643189141525591,7.9450693,22.62873109697862
18,木耳菜,5.933428571428571,3.0568953,4.94444437670853,10.861223,18.940959212765495
19,小皱皮(份),11.285714285714286,2.3555064,4.043571231032067,27.417383,41.91789702167322
20,红椒(2),2.0357142857142856,12.861913,25.222248812275055,2.7929993,31.26694640388219
21,苋菜,8.923,2.1094077,3.4999998559104877,15.615319,17.69300803634724
22,小青菜(1),4.900857142857142,2.6664286,6.232658997862585,8.915196,28.509361269571503
23,红薯尖,4.506571428571428,2.5405467,4.796956299230087,39.922684,82.49703015123457
24,菠菜(份),7.0,3.8264096,4.504347562136834,60.070454,37.98098709982853
25,洪湖藕带,4.033142857142857,18.106497,29.699999788213177,4.452795,39.208042494800836
26,海鲜菇(包),8.857142857142858,1.9523873,3.6894395888736535,11.654934,20.24522927517396
27,金针菇(盒),16.142857142857142,1.4569368,2.541817950793324,24.758972,26.739668884771202
